search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
클라우드 엔지니어,(주)에이블스토어,"2024 가상화 및 클라우드 엔지니어 모집 (신입, 경력)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49335868&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=331c00e8-a633-4954-ad63-0f17f9a1bfff,2024-12-06 21:37:15,서울 영등포구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
클라우드 엔지니어,㈜어빌리티시스템즈,클라우드 엔지니어  채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49396676&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=331c00e8-a633-4954-ad63-0f17f9a1bfff,2024-12-06 21:37:18,서울 송파구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
클라우드 엔지니어,(주)프레이,클라우드 엔지니어 정규직 채용 (네이버클라우드 운영자 우대),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497859&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=331c00e8-a633-4954-ad63-0f17f9a1bfff,2024-12-06 21:37:21,서울 강서구,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
클라우드 엔지니어,(주)빗썸코리아,블록체인 클라우드 엔지니어 (주니어),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49395807&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=331c00e8-a633-4954-ad63-0f17f9a1bfff,2024-12-06 21:37:24,서울 강남구,경력 1~7년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
클라우드 엔지니어,(주)빗썸코리아,클라우드엔지니어 - AWS 서비스 운영,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534716&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=331c00e8-a633-4954-ad63-0f17f9a1bfff,2024-12-06 21:37:27,서울 강남구,경력 5~10년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
클라우드 엔지니어,(주)카카오페이,인프라 - 클라우드 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490999&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=331c00e8-a633-4954-ad63-0f17f9a1bfff,2024-12-06 21:37:30,경기 성남시 분당구,경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
클라우드 엔지니어,(주)에스티유니타스,[ST Unitas] 클라우드 엔지니어 팀원급 인재채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49361607&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=331c00e8-a633-4954-ad63-0f17f9a1bfff,2024-12-06 21:37:33,서울 구로구,경력 1~4년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
클라우드 엔지니어,(주)온웨어,가상화 / 클라우드 엔지니어 모집 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49171461&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=331c00e8-a633-4954-ad63-0f17f9a1bfff,2024-12-06 21:37:36,부산 해운대구,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
클라우드 엔지니어,주식회사 스타랩스,[스타랩스] AWS 클라우드 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49446951&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=331c00e8-a633-4954-ad63-0f17f9a1bfff,2024-12-06 21:37:39,서울 강남구,경력,초대졸↑,정규직·프리랜서,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
클라우드 엔지니어,(주)골든플래닛,클라우드 엔지니어(팀장급 채용),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49447853&location=ts&searchword=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=331c00e8-a633-4954-ad63-0f17f9a1bfff,2024-12-06 21:37:44,서울 강남구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
