search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
투자분석,주식회사 지니어스,재무 투자 손익분석 fp&a 부장 이사급- 그룹 계열사1,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523345&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:17:55,서울 강남구,경력10년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,메리츠화재해상보험(주),2024년 메리츠화재 하반기 각 부문별 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525317&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:17:59,서울전체,신입·경력,초대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,(주)다우기술,다우기술 경력사원 대규모 인재영입,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49488843&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:18:02,경기 성남시 분당구,경력2년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,엔에이치농협캐피탈(주),2025년 NH농협캐피탈 신규직원[신입·경력] 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523319&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:18:06,전국,경력무관,학력무관,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,동국제약(주),동국제약 신입/경력 채용(헬스케어/건식/개발/영업/마케팅/관리) ~ 12/8,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49495520&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:18:09,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,(주)한양정밀,본사 각 사업부 임원 및 사무직 직원 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49517978&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:18:12,경기 김포시,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,(주)클리오,2024년도 하반기 신입(인턴) 및 경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49450469&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:18:17,서울 성동구,신입·경력,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,(주)파마리서치,2025년 파마리서치 신입·경력 대규모채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49494227&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:18:20,경기 성남시 분당구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,로지스팟(주),[로지스팟] 2024년 하반기 각 부문별 직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526110&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:18:24,서울 강남구,신입·경력,학력무관,정규직·기간제,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,에스케이키파운드리(주),SK키파운드리 각 분야 경력/신입사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475467&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:18:27,충북 청주시 흥덕구,신입·경력,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,(주)이도,(주)YIDO 2025년도 상반기 체험형 인턴 공개채용 (전 분야),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49445031&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:18:31,서울 중구,신입,대졸↑,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,(주)한독,QC/CD/기술팀/제조약사/ IT보안담당/건강기능식품 마케팅 등 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49527774&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:18:33,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,(주)포니링크,"㈜포니링크 IT 사업부, 자율주행사업부, 해외패션사업부, 경영기획본부 등 각 본부 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49175033&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:18:38,서울 영등포구,신입·경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,(주)아이리스브라이트,[커머스] 전직군 신입/경력 채용 (영상/마케팅/글로벌/콘텐츠),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523752&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:18:43,서울 강남구,신입·경력,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,(주)아이엠증권,(주)iM증권 각 부문별 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49508578&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:18:47,서울 영등포구,경력,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,(주)뷰니스,커머스 매니저/영업지원/마케터/사업관리/상품기획/회계,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49481673&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:18:50,서울 동대문구,신입·경력,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,(주)엔켐,2024년 12월 국내 및 해외 전부문 수시 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49494085&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:18:55,충남 천안시 동남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,(주)켐트로닉스,㈜켐트로닉스 각 사업본부 신입/경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512087&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:18:58,경기 성남시 분당구,신입·경력,고졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
투자분석,웹케시(주),"신입/경력직 모집(개발,마케팅,경영기획,법무 등)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535563&location=ts&searchword=%ED%88%AC%EC%9E%90%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=5047de61-7df0-4fb3-8619-d5910e382603,2024-12-07 20:19:02,서울 영등포구,신입·경력,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
