search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
특허,(주)캐프,(주)캐프 R&D 특허관리 담당 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49262310&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:48:13,경북 상주시,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,특허법인수,[울산] 특허사무소 국내 특허 관리직&총무 - 신입 및 경력직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49541601&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:48:18,울산 남구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,윤앤리특허법인,특허 관리 사무 직원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512007&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:48:22,서울 금천구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,(주)다래전략사업화센터,"기계·전자·화학·바이오 특허컨설팅, 조사분석, 기술평가 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49411358&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:48:25,서울 강남구,경력무관,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,특허법인태평양,[특허법인 태평양] 도면사 (경력 무관),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49530309&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:48:30,서울 중구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,법무법인(유)대륜변호사,[상시채용] 법무법인(유한) 대륜 본사 특허관리담당자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49351587&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:48:33,서울 영등포구,경력1년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,특허법인씨엔에스,[특허법인] 인커밍특허 출원관리 신입/경력직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49532482&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:48:38,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,원국제특허법률사무소,[법률사무] 특허사무소 관리팀 사무직(신입 및 유경력자 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543074&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:48:41,서울 강남구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,엠아이피국제특허법률사무소,[신입] 특허 명세사 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536003&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:48:45,부산 해운대구,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,특허법인 플러스,[특허법인플러스] 특허사무소 국내관리사무원 모집 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49463029&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:48:48,대전 서구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,지킴특허법률사무소,특허·상표 출원 및 관리업무 경력무관 채용 (울산),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49420512&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:48:52,울산 남구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,하앤유 특허법률사무소,특허법률사무소 사무관리 및 사무보조-계약직(연장가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49162674&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:48:55,인천 서구,경력무관,초대졸↑,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,(주)도루코,특허전략 경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49227821&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:49:00,서울 서초구,경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,한양특허법인,특허사무소 일본어 번역 담당 직원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516306&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:49:03,서울 강남구,경력1년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,특허법인 무한,[특허법인 무한] 해외관리팀 아르바이트 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49527873&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:49:06,서울 강남구,경력무관,학력무관,아르바이트,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,특허법인더웨이브,[특허법인더웨이브] 국내 관리 직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525359&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:49:09,서울 강남구,경력2년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,(주)참슬테크,"부동산 (분양), 법무 (특허관리), 자산 운용(투자) 실무자 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490138&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:49:13,서울 영등포구,경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,수안특허법인,"[신규/경력] 사무, 법무, 특허출원관리 정규직 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49532688&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:49:17,서울 강남구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,유레카특허법률사무소,특허법률사무소 사무보조 모집 (계약직 / 연장가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49359658&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:49:20,인천 서구,경력무관,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
특허,리더스국제특허법률사무소,특허관리 직원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539992&location=ts&searchword=%ED%8A%B9%ED%97%88&searchType=search&paid_fl=n&search_uuid=3b218b72-498d-4847-90fd-9af4ebf38d50,2024-12-07 21:49:24,서울 강남구,경력3년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
