search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
펀드매니저,에이스투자금융(주),[에이스투자금융 미국주식시장 펀드매니저(재택근무 위주)공고],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49454239&location=ts&searchword=%ED%8E%80%EB%93%9C%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=f0fb7a3e-d75d-4622-874e-aef0dd9fb553,2024-12-07 21:03:42,서울 영등포구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
펀드매니저,베스트네트워크㈜,05. 대표 펀드매니저 [VC/벤처투자사],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539305&location=ts&searchword=%ED%8E%80%EB%93%9C%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=f0fb7a3e-d75d-4622-874e-aef0dd9fb553,2024-12-07 21:03:46,서울 강남구,경력5년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
펀드매니저,베스트네트워크㈜,32. 대표펀드매니저 [혁신투자사],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504455&location=ts&searchword=%ED%8E%80%EB%93%9C%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=f0fb7a3e-d75d-4622-874e-aef0dd9fb553,2024-12-07 21:03:50,서울 강남구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
펀드매니저,(주)중앙,중앙법인 영업부 신입사원 공개채용(업계최대 인센티브),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49498625&location=ts&searchword=%ED%8E%80%EB%93%9C%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=f0fb7a3e-d75d-4622-874e-aef0dd9fb553,2024-12-07 21:03:54,경기 부천시,경력무관,학력무관,위촉직·프리랜서,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
펀드매니저,하나증권(주),투자상품실 및 리서치센터(통신서비스네크워크장비RA) 경력직 인재 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539593&location=ts&searchword=%ED%8E%80%EB%93%9C%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=f0fb7a3e-d75d-4622-874e-aef0dd9fb553,2024-12-07 21:03:58,서울 영등포구,경력1년↑,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
펀드매니저,이스트스프링파트너스(주),[강남/도곡] 증권투자 리서치 & 경영지원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49396635&location=ts&searchword=%ED%8E%80%EB%93%9C%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=f0fb7a3e-d75d-4622-874e-aef0dd9fb553,2024-12-07 21:04:01,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
펀드매니저,말랑하니(주),셀링하니 프론트엔드 개발자 채용의 건,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49524599&location=ts&searchword=%ED%8E%80%EB%93%9C%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=f0fb7a3e-d75d-4622-874e-aef0dd9fb553,2024-12-07 21:04:05,부산 해운대구,신입,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
펀드매니저,한국투자신탁운용(주),국내투자지원부 경력직원 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539812&location=ts&searchword=%ED%8E%80%EB%93%9C%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=f0fb7a3e-d75d-4622-874e-aef0dd9fb553,2024-12-07 21:04:09,서울 영등포구,경력,학력무관,,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
펀드매니저,(주)씨아이템프러리,[현대카드/본사] FRAUD관리팀 (FDS담당) 직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49399479&location=ts&searchword=%ED%8E%80%EB%93%9C%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=f0fb7a3e-d75d-4622-874e-aef0dd9fb553,2024-12-07 21:04:12,서울 영등포구,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
펀드매니저,하나증권(주),손님케어센터(콜센터상담업무) 경력직 인재 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539068&location=ts&searchword=%ED%8E%80%EB%93%9C%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=f0fb7a3e-d75d-4622-874e-aef0dd9fb553,2024-12-07 21:04:15,서울 영등포구,경력2년↑,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
