search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
품질관리,우성전기공업(주),"[중국공장] 각 부문별 직원채용( 품질관리, 생산관리, 금형관리, 금형개발 )",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49462666&location=ts&searchword=%ED%92%88%EC%A7%88%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=c723a8a8-ab68-418e-9437-62ca91a88785,2024-12-07 14:01:38,중국.홍콩 산동성,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
품질관리,모트라스(주),현대자동차그룹 모트라스(주) 사무직 품질관리 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497962&location=ts&searchword=%ED%92%88%EC%A7%88%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=c723a8a8-ab68-418e-9437-62ca91a88785,2024-12-07 14:01:41,경기 화성시,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
품질관리,(주)포스포,(주)포스포 광양공장 사무/품질관리/제조 신입사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536988&location=ts&searchword=%ED%92%88%EC%A7%88%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=c723a8a8-ab68-418e-9437-62ca91a88785,2024-12-07 14:01:46,전남 광양시,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
품질관리,(주)크리스탈샘물,[크리스탈샘물] 품질관리 부문 채용 (QC/QA/미생물/이화학/ISO),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49409650&location=ts&searchword=%ED%92%88%EC%A7%88%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=c723a8a8-ab68-418e-9437-62ca91a88785,2024-12-07 14:01:49,경기 가평군,경력무관,초대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
품질관리,(주)비보존제약,"부문별 신입/경력 공개채용(마케팅/생산,품질관리/임상연구개발)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49411662&location=ts&searchword=%ED%92%88%EC%A7%88%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=c723a8a8-ab68-418e-9437-62ca91a88785,2024-12-07 14:01:52,경기 화성시,신입·경력,고졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
품질관리,(유)클라리오스델코,[델코배터리] 품질관리팀 사무직 기간제 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49540176&location=ts&searchword=%ED%92%88%EC%A7%88%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=c723a8a8-ab68-418e-9437-62ca91a88785,2024-12-07 14:01:56,경북 구미시,경력무관,고졸↑,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
품질관리,대웅바이오(주),[대웅바이오] 의약품 품질관리 경력사원 모집 (향남공장),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49505874&location=ts&searchword=%ED%92%88%EC%A7%88%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=c723a8a8-ab68-418e-9437-62ca91a88785,2024-12-07 14:01:59,경기 화성시,경력 3~10년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
품질관리,한화첨단소재(주),[한화첨단소재] 세종사업장 품질관리 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49508580&location=ts&searchword=%ED%92%88%EC%A7%88%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=c723a8a8-ab68-418e-9437-62ca91a88785,2024-12-07 14:02:02,세종특별자치시,신입·경력,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
품질관리,(주)제이오텍,㈜제이오텍 품질관리 부문 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49506120&location=ts&searchword=%ED%92%88%EC%A7%88%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=c723a8a8-ab68-418e-9437-62ca91a88785,2024-12-07 14:02:05,대전 유성구,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
품질관리,(주)고려비엔피,동물용의약품 생산/물류팀/화학품질관리팀/기술연구소 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516726&location=ts&searchword=%ED%92%88%EC%A7%88%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=c723a8a8-ab68-418e-9437-62ca91a88785,2024-12-07 14:02:09,충남 예산군,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
