search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
해외영업,(주)본느,[코스닥/본느] 뷰티 코스메틱 해외영업 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475077&location=ts&searchword=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&searchType=search&paid_fl=y&search_uuid=8b94500e-3fad-4adf-96b8-c929630fc827,2024-12-07 02:47:37,서울 강남구,경력1년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
해외영업,(주)하이라이트브랜즈,[하이라이트브랜즈] 해외영업팀 MD직군 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535354&location=ts&searchword=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&searchType=search&paid_fl=y&search_uuid=8b94500e-3fad-4adf-96b8-c929630fc827,2024-12-07 02:47:41,경기 성남시 분당구,경력 4~6년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
해외영업,(주)노루페인트,"(주)노루페인트, ㈜노루케미칼 채용(국내영업, 해외영업지원, 생산부문 등)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543457&location=ts&searchword=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&searchType=search&paid_fl=n&search_uuid=8b94500e-3fad-4adf-96b8-c929630fc827,2024-12-07 02:47:45,경기 안양시,신입·경력,초대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
해외영업,(주)우진산전,"우진산전 해외영업팀 영업 및 통역, 번역 담당자 모집 (고덕)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49522565&location=ts&searchword=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&searchType=search&paid_fl=n&search_uuid=8b94500e-3fad-4adf-96b8-c929630fc827,2024-12-07 02:47:49,서울 강동구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
해외영업,(주)빙그레,2024년 하반기 해외영업 / 회계 부문 경력직 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49489137&location=ts&searchword=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&searchType=search&paid_fl=n&search_uuid=8b94500e-3fad-4adf-96b8-c929630fc827,2024-12-07 02:47:53,서울 종로구,경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
해외영업,(주)테라닉스,"[영풍그룹 계열사] 제조기술,해외영업 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49507847&location=ts&searchword=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&searchType=search&paid_fl=n&search_uuid=8b94500e-3fad-4adf-96b8-c929630fc827,2024-12-07 02:47:57,경기 안산시 단원구,신입·경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
해외영업,(주)이엔에스코리아,"[이엔에스코리아] 해외영업, 해외온라인, 국내영업, 국내 OEM 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49438465&location=ts&searchword=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&searchType=search&paid_fl=n&search_uuid=8b94500e-3fad-4adf-96b8-c929630fc827,2024-12-07 02:48:00,서울 강남구,경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
해외영업,(주)메디안디노스틱,메디안디노스틱 영업본부(해외영업) 신입/경력사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49463677&location=ts&searchword=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&searchType=search&paid_fl=n&search_uuid=8b94500e-3fad-4adf-96b8-c929630fc827,2024-12-07 02:48:05,서울 송파구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
해외영업,(주)우인인더스트리즈,[의류벤더] 해외영업 인턴/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49464550&location=ts&searchword=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&searchType=search&paid_fl=n&search_uuid=8b94500e-3fad-4adf-96b8-c929630fc827,2024-12-07 02:48:09,서울 구로구,신입·경력,학력무관,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
해외영업,㈜서흥,해외영업 정규직 전환형 인턴사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49528684&location=ts&searchword=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&searchType=search&paid_fl=n&search_uuid=8b94500e-3fad-4adf-96b8-c929630fc827,2024-12-07 02:48:13,서울 동대문구,경력무관,대졸↑,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
