search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
헬스케어,(주)비씨월드제약,㈜비씨월드제약 / 비씨월드헬스케어 2024년 4분기 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49542027&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=ed78e5bd-ea51-4319-b799-3128c7e4604d,2024-12-07 20:01:49,경기 여주시,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
헬스케어,동국제약(주),동국제약 신입/경력 채용(헬스케어/건식/개발/영업/마케팅/관리) ~ 12/8,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49495520&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=ed78e5bd-ea51-4319-b799-3128c7e4604d,2024-12-07 20:01:54,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
헬스케어,네이버클라우드(주),[NAVER Cloud] 헬스케어 관련 프로토타입 BE 개발 (체험형 인턴),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49515151&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=ed78e5bd-ea51-4319-b799-3128c7e4604d,2024-12-07 20:01:58,경기 성남시 분당구,신입,대졸↑,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
헬스케어,넛지헬스케어(주),[넛지헬스케어] 백엔드개발 채용전환형 인턴,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523378&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=ed78e5bd-ea51-4319-b799-3128c7e4604d,2024-12-07 20:02:01,서울 강남구,신입,학력무관,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
헬스케어,넛지헬스케어(주),[넛지헬스케어] 프론트엔드개발 채용전환형 인턴,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49522836&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=ed78e5bd-ea51-4319-b799-3128c7e4604d,2024-12-07 20:02:05,서울 강남구,신입,학력무관,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
헬스케어,닥터블릿헬스케어 주식회사,닥터블릿 헬스케어(주) 부문별 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48922317&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=ed78e5bd-ea51-4319-b799-3128c7e4604d,2024-12-07 20:02:09,서울 성동구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
헬스케어,넛지헬스케어(주),[넛지헬스케어] 백엔드/서버 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523351&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=ed78e5bd-ea51-4319-b799-3128c7e4604d,2024-12-07 20:02:11,서울 강남구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
헬스케어,(주)맨파워그룹코리아,[신용산/육휴대체] 글로벌 헬스케어 기업 IT 헬프데스크,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516615&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=ed78e5bd-ea51-4319-b799-3128c7e4604d,2024-12-07 20:02:16,서울 용산구,경력2년↑,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
헬스케어,(주)지알케이파트너스,[신입/경력] 디지털 헬스케어 전략/기획 컨설턴트 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49261440&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=ed78e5bd-ea51-4319-b799-3128c7e4604d,2024-12-07 20:02:19,서울 용산구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
헬스케어,(주)휴톰,[휴톰] 헬스케어 Medical Image Labeling Manager,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49389767&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=ed78e5bd-ea51-4319-b799-3128c7e4604d,2024-12-07 20:02:23,서울 마포구,신입·경력,대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
