search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
화학연구,한국화학연구원,한국화학연구원 정직원(경영행정) 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49515044&location=ts&searchword=%ED%99%94%ED%95%99%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=0668b0b0-9fa2-4a37-922c-4580ac09f525,2024-12-07 13:28:15,대전 유성구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
화학연구,(주)아이코어바이오,[화학연구원 채용] 생체재료 Material 연구원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49428993&location=ts&searchword=%ED%99%94%ED%95%99%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=0668b0b0-9fa2-4a37-922c-4580ac09f525,2024-12-07 13:28:19,서울 노원구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
화학연구,(주)커리어넷,[한국화학연구원] 2024년 13차 계약직(행정)휴직대체 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49478388&location=ts&searchword=%ED%99%94%ED%95%99%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=0668b0b0-9fa2-4a37-922c-4580ac09f525,2024-12-07 13:28:24,대전 유성구,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
화학연구,광주과학기술원,광주과학기술원  미량금속생지화학연구실 연구원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49430376&location=ts&searchword=%ED%99%94%ED%95%99%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=0668b0b0-9fa2-4a37-922c-4580ac09f525,2024-12-07 13:28:27,광주 북구,경력무관,대졸↑,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
화학연구,덕성여자대학교,대학원생 모집-덕성여대 약학대학 의약화학연구실,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49509981&location=ts&searchword=%ED%99%94%ED%95%99%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=0668b0b0-9fa2-4a37-922c-4580ac09f525,2024-12-07 13:28:30,서울 도봉구,경력무관,대졸↑,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
화학연구,덕성여자대학교산학협력단,덕성여대 약학대학 의약화학연구실-대학원생 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487975&location=ts&searchword=%ED%99%94%ED%95%99%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=0668b0b0-9fa2-4a37-922c-4580ac09f525,2024-12-07 13:28:33,서울 도봉구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
화학연구,(주)씨앤에이코리아,[중견기업] 화학연구소 총괄 임원급,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49481376&location=ts&searchword=%ED%99%94%ED%95%99%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=0668b0b0-9fa2-4a37-922c-4580ac09f525,2024-12-07 13:28:38,서울 강남구,경력18년↑,박사,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
화학연구,(주)씨앤에이코리아,[코스닥상장 중견기업] 화학연구실 안전환경관리 대리과장급,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49481398&location=ts&searchword=%ED%99%94%ED%95%99%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=0668b0b0-9fa2-4a37-922c-4580ac09f525,2024-12-07 13:28:41,인천 중구,경력 8~13년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
화학연구,(주)LG화학,[석유화학] 연구지원 기간제 근로자 채용 (오산),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49538722&location=ts&searchword=%ED%99%94%ED%95%99%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=0668b0b0-9fa2-4a37-922c-4580ac09f525,2024-12-07 13:28:44,경기 오산시,신입,고졸↑,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
화학연구,(주)셀티움,유기화학 및 구조생물학 신약개발 연구원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49442919&location=ts&searchword=%ED%99%94%ED%95%99%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=0668b0b0-9fa2-4a37-922c-4580ac09f525,2024-12-07 13:28:47,경기 수원시 영통구,경력무관,석사↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
화학연구,(주)고려비엔피,동물용의약품 생산/물류팀/화학품질관리팀/기술연구소 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516726&location=ts&searchword=%ED%99%94%ED%95%99%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=0668b0b0-9fa2-4a37-922c-4580ac09f525,2024-12-07 13:28:51,충남 예산군,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
화학연구,유림특수화학㈜,유림특수화학(주) 기술연구소 연구원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49333855&location=ts&searchword=%ED%99%94%ED%95%99%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=0668b0b0-9fa2-4a37-922c-4580ac09f525,2024-12-07 13:28:55,경기 화성시,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
화학연구,프리시젼바이오(주),진단연구소 임상화학 개발 연구원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49469687&location=ts&searchword=%ED%99%94%ED%95%99%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=0668b0b0-9fa2-4a37-922c-4580ac09f525,2024-12-07 13:28:58,대전 유성구,신입,초대졸↑,정규직·전문연구요원,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
